Milliseconds,Latitude,Longitude,Altitude
13650,35.7021674,51.3528266,1197.0
13675,35.7021674,51.3528266,1197.0
13701,35.7021674,51.3528266,1197.0
13725,35.7021674,51.3528266,1197.0
13750,35.7021674,51.3528266,1197.0
13776,35.7021674,51.3528266,1197.0
13800,35.7021674,51.3528266,1197.0
13825,35.7021674,51.3528266,1197.0
13850,35.7021674,51.3528266,1197.0
13876,35.7021674,51.3528266,1197.0
13900,35.7021674,51.3528266,1197.0
13925,35.7021674,51.3528266,1197.0
13951,35.7021674,51.3528266,1197.0
13975,35.7021674,51.3528266,1197.0
14000,35.7021674,51.3528266,1197.0
14026,35.7021674,51.3528266,1197.0
14050,35.7021674,51.3528266,1197.0
14075,35.7021674,51.3528266,1197.0
14101,35.7021674,51.3528266,1197.0
14125,35.7021674,51.3528266,1197.0
14150,35.7021674,51.3528266,1197.0
14176,35.7021674,51.3528266,1197.0
14200,35.7021674,51.3528266,1197.0
14225,35.7021674,51.3528266,1197.0
14251,35.7021674,51.3528266,1197.0
14275,35.7021674,51.3528266,1197.0
14300,35.7021674,51.3528266,1197.0
14325,35.7021674,51.3528266,1197.0
14351,35.7021674,51.3528266,1197.0
14375,35.7021674,51.3528266,1197.0
14400,35.7021674,51.3528266,1197.0
14426,35.7021674,51.3528266,1197.0
14450,35.7021674,51.3528266,1197.0
14475,35.7021674,51.3528266,1197.0
14501,35.7021674,51.3528266,1197.0
14525,35.7021674,51.3528266,1197.0
14551,35.7021674,51.3528266,1197.0
14575,35.7021674,51.3528266,1197.0
14600,35.7021674,51.3528266,1197.0
14626,35.7021674,51.3528266,1197.0
14650,35.7021674,51.3528266,1197.0
14675,35.7021674,51.3528266,1197.0
14700,35.7021674,51.3528266,1197.0
14726,35.7021674,51.3528266,1197.0
14750,35.7021674,51.3528266,1197.0
14776,35.7021674,51.3528266,1197.0
14800,35.7021674,51.3528266,1197.0
14825,35.7021674,51.3528266,1197.0
14850,35.7021674,51.3528266,1197.0
14876,35.7021674,51.3528266,1197.0
14900,35.7021674,51.3528266,1197.0
14925,35.7021674,51.3528266,1197.0
14951,35.7021674,51.3528266,1197.0
14975,35.7021674,51.3528266,1197.0
15000,35.7021674,51.3528266,1197.0
15026,35.7021674,51.3528266,1197.0
15050,35.7021674,51.3528266,1197.0
15075,35.7021674,51.3528266,1197.0
15100,35.7021674,51.3528266,1197.0
15126,35.7021674,51.3528266,1197.0
15150,35.7021674,51.3528266,1197.0
15176,35.7021674,51.3528266,1197.0
15200,35.7021674,51.3528266,1197.0
15225,35.7021674,51.3528266,1197.0
15250,35.7021674,51.3528266,1197.0
15276,35.7021674,51.3528266,1197.0
15300,35.7021674,51.3528266,1197.0
15325,35.7021674,51.3528266,1197.0
